image_id,image_id,heading,description,general_classification,sub_classification,tags,color_classification,mime_type,file_size_bytes,source_path,folder_id,folder_order,image_url,processed_at,file_name,model_used,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
1HVFthi6Czfd_pJOth6DPNpMv4jmO_H75,1HVFthi6Czfd_pJOth6DPNpMv4jmO_H75,Futuristic Digital Network Background,"Abstract blue digital network with dynamic lines and nodes, suitable for technology or innovation themes.",Technology Background,Digital Network Visualization,"digital, network, technology, abstract, nodes, lines, futuristic, data, connectivity, innovation",Cool Blue,image/jpeg,7677118,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1HVFthi6Czfd_pJOth6DPNpMv4jmO_H75/view?usp=drivesdk,2026-03-16T08:37:04.531Z,AdobeStock_275319226 copy.jpeg,gpt-4.1-nano-2025-04-14,2419,49,2468,0.0002615
1YQ2RRaT9LtrPCooofBVoHg9ZoOq3pDpD,1YQ2RRaT9LtrPCooofBVoHg9ZoOq3pDpD,Futuristic Digital Interaction,"A finger interacts with a glowing digital interface, symbolizing innovation and advanced technology solutions.",Technology,Digital Interface Interaction,"futuristic, digital, technology, interface, innovation, glowing, touchscreen, data, high-tech, blue",Cool Blue,image/jpeg,334610,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1YQ2RRaT9LtrPCooofBVoHg9ZoOq3pDpD/view?usp=drivesdk,2026-03-16T08:37:18.107Z,15.News & Accolades_image.jpg,gpt-4.1-nano-2025-04-14,2831,52,2883,0.0003039
1iFptwp4r512w5a-QoE2-5q6H8iXEBNts,1iFptwp4r512w5a-QoE2-5q6H8iXEBNts,Intense Basketball Game Action,Two athletes compete at the basketball hoop during a high-energy game in front of a large crowd.,Sports Photography,Basketball Action,"basketball, competition, athletes, sports, action, crowd, hoop, game, intensity, teamwork",Vibrant Multi-color,image/jpeg,345124,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1iFptwp4r512w5a-QoE2-5q6H8iXEBNts/view?usp=drivesdk,2026-03-16T08:38:38.060Z,3.Outplay_image.jpg,gpt-4o-2024-05-13,1768,52,1820,0.00494
1HbTZxYo9vUxgTLq1r9VEr_6ygSrcwcGH,1HbTZxYo9vUxgTLq1r9VEr_6ygSrcwcGH,Radiant Sun Rays Illustration,Abstract image featuring stylized yellow sun rays radiating outward over a blue background for visual impact.,Abstract Graphics,Abstract Sunburst Illustration,"sun rays, radiating, yellow, blue background, abstract, graphic design, sunlight, energy, vibrant, visual impact",Vibrant Multi-color,image/png,363003,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1HbTZxYo9vUxgTLq1r9VEr_6ygSrcwcGH/view?usp=drivesdk,2026-03-16T08:38:52.299Z,sun-rays-31000.png,gpt-4.1-nano-2025-04-14,1364,58,1422,0.0001596
1HCQd2CCEc24OjcUQlMyYkoyyO8HnhYa1,1HCQd2CCEc24OjcUQlMyYkoyyO8HnhYa1,Colorful Abstract Vector Background,A vibrant abstract vector design featuring overlapping shapes and lines in multiple colors for creative marketing use.,Abstract Graphics,Vector Background,"abstract, colorful, shapes, lines, vibrant, design, creative, graphic, digital, modern",Vibrant Multi-color,image/png,161113,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1HCQd2CCEc24OjcUQlMyYkoyyO8HnhYa1/view?usp=drivesdk,2026-03-16T08:39:04.166Z,pngfind.com-vector-graphics-design-background-416109.png,gpt-4.1-nano-2025-04-14,2129,51,2180,0.0002333
1Fr08LsBR2LCcXOAEDkorXjGaIOJOreeQ,1Fr08LsBR2LCcXOAEDkorXjGaIOJOreeQ,Building PWAs with React Native,"An illustration showing a person viewing a large mobile device with React and PWA icons, representing app development.",Technology Illustration,App Development Illustration,"React Native, PWA, mobile app, app development, technology, illustration, software, programming, user interface, digital",Cool Blue,image/png,88257,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1Fr08LsBR2LCcXOAEDkorXjGaIOJOreeQ/view?usp=drivesdk,2026-03-16T08:39:15.438Z,How-to-Create-PWA-With-React-Native.png,gpt-4.1-nano-2025-04-14,2959,54,3013,0.0003175
1Ex_K5VSWntjdMTcR6e6JJ6CTY5ZhdSXu,1Ex_K5VSWntjdMTcR6e6JJ6CTY5ZhdSXu,Cloud Automation and Robotics,"A robotic arm interacts with a gear, symbolizing cloud automation and advanced digital processes in a futuristic environment.",Technology and Automation,Robotics and Automation,"robotic arm, gear, technology, automation, futuristic, digital, machinery, engineering, innovation, cloud computing",Cool Blue,image/jpeg,627229,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1Ex_K5VSWntjdMTcR6e6JJ6CTY5ZhdSXu/view?usp=drivesdk,2026-03-16T08:39:29.033Z,cloud-automation_shutterstock_166675772.jpg,gpt-4.1-nano-2025-04-14,2189,53,2242,0.0002401
1DmgehXT8fHzHYe2sc7P40-1LE4v-Db2E,1DmgehXT8fHzHYe2sc7P40-1LE4v-Db2E,Modern Purple Abstract Background,"A vibrant abstract wallpaper featuring diagonal purple gradients and colorful lines, ideal for digital or creative branding use.",Abstract Backgrounds,Digital Abstract Wallpaper,"purple, gradients, colorful lines, digital, modern, vibrant, abstract, design, wallpaper, creative",Vibrant Multi-color,image/jpeg,279968,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1DmgehXT8fHzHYe2sc7P40-1LE4v-Db2E/view?usp=drivesdk,2026-03-16T08:39:43.705Z,2019_Purple_Abstract_4K_HD_Design Wallpaper_3840x2400[10wallpaper.com].jpg,gpt-4.1-nano-2025-04-14,2617,53,2670,0.0002829
1W6uq2LpHL_x_IDuu_n3HcPuBtzyst50y,1W6uq2LpHL_x_IDuu_n3HcPuBtzyst50y,Cloud Computing Technology Concept,A business professional interacts with virtual cloud computing icons representing data and device connectivity in a digital environment.,Information Technology,Digital Cloud Interface,"cloud computing, virtual icons, data connectivity, digital environment, business technology, data transfer, cloud storage, virtual interface, technology concept, digital transformation",Cool Blue,image/jpeg,3076188,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1W6uq2LpHL_x_IDuu_n3HcPuBtzyst50y/view?usp=drivesdk,2026-03-16T08:40:00.914Z,shutterstock_265202639.jpg,gpt-4.1-nano-2025-04-14,2419,59,2478,0.0002655
1g5bEgw3nS6h7RfGF5UCXeXwl8l5-NMjl,1g5bEgw3nS6h7RfGF5UCXeXwl8l5-NMjl,High-Visibility Safety Apparel Display,A retail display featuring various high-visibility safety jackets and vests in fluorescent colors with reflective stripes.,Safety Workwear,Retail Display,"high-visibility, safety apparel, fluorescent colors, reflective stripes, workwear, safety gear, retail, jackets, vests, display rack",Vibrant Multi-color,image/jpeg,1574942,root,1vrNekG1Qr56NK1QjgFO2uocib1KKbnxU,0,https://drive.google.com/file/d/1g5bEgw3nS6h7RfGF5UCXeXwl8l5-NMjl/view?usp=drivesdk,2026-03-16T08:40:16.931Z,738d2dffc4a5a03867854a8665337a62.jpg,gpt-4.1-nano-2025-04-14,2200,60,2260,0.000244
